match_id,match_code,stage_raw,stage,round_name,start_utc,end_utc,date_local,time_local,timezone,city_id,city_name,country,venue_name,stadium_name,home_team_code,home_team_name,away_team_code,away_team_name,currency,cat1,cat2,cat3,cat4,min_price_available,price_band
87,M87,Round of 32,R32,Match 87,2026-07-03T20:30:00.000Z,2026-07-04T01:30:00.000Z,2026-07-03,15:30,America/Chicago,kansas_city,Kansas City,USA,Kansas City Stadium,Arrowhead Stadium,1K,1K,3DEIJL,3DEIJL,USD,520.0,425.0,200.0,,200.0,MED
88,M88,Round of 32,R32,Match 88,2026-07-03T13:00:00.000Z,2026-07-03T18:00:00.000Z,2026-07-03,08:00,America/Chicago,dallas,Dallas,USA,Dallas Stadium,AT&T Stadium,2D,2D,2G,2G,USD,540.0,440.0,225.0,,225.0,MED
89,M89,Round of 16,R16,Match 89,2026-07-04T17:00:00.000Z,2026-07-04T21:00:00.000Z,2026-07-04,13:00,America/New_York,philadelphia,Philadelphia,USA,Philadelphia Stadium,Lincoln Financial Field,W74,Winner 74,W77,Winner 77,USD,840.0,620.0,320.0,,320.0,HIGH
90,M90,Round of 16,R16,Match 90,2026-07-04T12:00:00.000Z,2026-07-04T17:00:00.000Z,2026-07-04,07:00,America/Chicago,houston,Houston,USA,Houston Stadium,NRG Stadium,W73,Winner 73,W75,Winner 75,USD,620.0,505.0,220.0,,220.0,MED
91,M91,Round of 16,R16,Match 91,2026-07-05T16:00:00.000Z,2026-07-05T20:00:00.000Z,2026-07-05,12:00,America/New_York,ny_nj,New York / New Jersey,USA,New York/New Jersey Stadium,MetLife Stadium,W76,Winner 76,W78,Winner 78,USD,980.0,785.0,365.0,,365.0,HIGH
92,M92,Round of 16,R16,Match 92,2026-07-05T18:00:00.000Z,2026-07-05T23:00:00.000Z,2026-07-05,12:00,America/Mexico_City,mexico_city,Mexico City,Mexico,Mexico City Stadium,Estadio Azteca,W79,Winner 79,W80,Winner 80,USD,885.0,625.0,350.0,,350.0,HIGH
93,M93,Round of 16,R16,Match 93,2026-07-06T14:00:00.000Z,2026-07-06T19:00:00.000Z,2026-07-06,09:00,America/Chicago,dallas,Dallas,USA,Dallas Stadium,AT&T Stadium,W83,Winner 83,W84,Winner 84,USD,640.0,515.0,240.0,,240.0,MED
94,M94,Round of 16,R16,Match 94,2026-07-06T17:00:00.000Z,2026-07-07T00:00:00.000Z,2026-07-06,10:00,America/Los_Angeles,seattle,Seattle,USA,Seattle Stadium,Lumen Field,W81,Winner 81,W82,Winner 82,USD,695.0,565.0,270.0,,270.0,HIGH
95,M95,Round of 16,R16,Match 95,2026-07-07T12:00:00.000Z,2026-07-07T16:00:00.000Z,2026-07-07,08:00,America/New_York,atlanta,Atlanta,USA,Atlanta Stadium,Mercedes-Benz Stadium,W86,Winner 86,W88,Winner 88,USD,735.0,580.0,270.0,,270.0,HIGH
96,M96,Round of 16,R16,Match 96,2026-07-07T13:00:00.000Z,2026-07-07T20:00:00.000Z,2026-07-07,06:00,America/Vancouver,vancouver,Vancouver,Canada,BC Place Vancouver,BC Place,W85,Winner 85,W87,Winner 87,USD,765.0,625.0,320.0,,320.0,HIGH
97,M97,Quarter-Finals,QF,Match 97,2026-07-09T16:00:00.000Z,2026-07-09T20:00:00.000Z,2026-07-09,12:00,America/New_York,boston,Boston,USA,Boston Stadium,Gillette Stadium,W89,Winner 89,W90,Winner 90,USD,1270.0,890.0,650.0,,650.0,HIGH
98,M98,Quarter-Finals,QF,Match 98,2026-07-10T12:00:00.000Z,2026-07-10T19:00:00.000Z,2026-07-10,05:00,America/Los_Angeles,los_angeles,Los Angeles,USA,Los Angeles Stadium,SoFi Stadium,W93,Winner 93,W94,Winner 94,USD,1775.0,1220.0,800.0,,800.0,HIGH
99,M99,Quarter-Finals,QF,Match 99,2026-07-11T17:00:00.000Z,2026-07-11T21:00:00.000Z,2026-07-11,13:00,America/New_York,miami,Miami,USA,Miami Stadium,Hard Rock Stadium,W91,Winner 91,W92,Winner 92,USD,1445.0,1005.0,735.0,,735.0,HIGH
100,M100,Quarter-Finals,QF,Match 100,2026-07-11T20:00:00.000Z,2026-07-12T01:00:00.000Z,2026-07-11,15:00,America/Chicago,kansas_city,Kansas City,USA,Kansas City Stadium,Arrowhead Stadium,W95,Winner 95,W96,Winner 96,USD,1265.0,940.0,535.0,,535.0,HIGH
101,M101,Semi-Finals,SF,Match 101,2026-07-14T14:00:00.000Z,2026-07-14T19:00:00.000Z,2026-07-14,09:00,America/Chicago,dallas,Dallas,USA,Dallas Stadium,AT&T Stadium,W97,Winner 97,W98,Winner 98,USD,3295.0,2350.0,930.0,,930.0,HIGH
102,M102,Semi-Finals,SF,Match 102,2026-07-15T15:00:00.000Z,2026-07-15T19:00:00.000Z,2026-07-15,11:00,America/New_York,atlanta,Atlanta,USA,Atlanta Stadium,Mercedes-Benz Stadium,W99,Winner 99,W100,Winner 100,USD,3040.0,2525.0,905.0,,905.0,HIGH
103,M103,Bronze Final,FINAL,Match 103,2026-07-18T17:00:00.000Z,2026-07-18T21:00:00.000Z,2026-07-18,13:00,America/New_York,miami,Miami,USA,Miami Stadium,Hard Rock Stadium,RU101,Bronze 101,RU102,Bronze 102,USD,1125.0,865.0,455.0,,455.0,HIGH
104,M104,Final,FINAL,Match 104,2026-07-19T15:00:00.000Z,2026-07-19T19:00:00.000Z,2026-07-19,11:00,America/New_York,ny_nj,New York / New Jersey,USA,New York/New Jersey Stadium,MetLife Stadium,W101,Winner 101,W102,Winner 102,USD,8680.0,5575.0,4185.0,,4185.0,HIGH
